fileID,f1,f2,vot,notes
ne02_kaka,1023.80,2058.45,42.51,
ne02_kaka1,312.87,1652.57,40.36,
ne02_keke,475.63,2410.98,39.98,
ne02_keke1,443.80,2469.51,53.85,
ne02_keke2,1082.77,2069.30,65.54,
ne02_kiki,674.76,1887.32,49.76,
ne02_kiki1,961.95,2139.20,61.26,
ne02_kiki2,705.55,1730.05,48.68,
ne02_koko,688.50,2009.65,66.96,
ne02_koko1,1405.94,2120.43,53.86,
ne02_koko2,528.84,1076.18,57.62,
ne02_kuku,1077.77,2104.95,43.29,
ne02_kuku1,457.92,1477.87,63.47,
ne02_kuku2,1103.77,2228.75,40.12,
ne02_paka,750.71,2004.60,63.08,
ne02_paka1,1502.51,2762.57,52.14,
ne02_paka2,736.21,1821.54,41.71,
ne02_peke,543.34,2396.92,53.27,
ne02_peke1,1063.95,2133.09,43.70,
ne02_peke2,804.09,2024.82,38.51,
ne02_piki,1009.07,2127.48,67.23,
ne02_piki1,1083.73,1907.58,51.54,
ne02_piki2,1054.05,2240.14,55.70,
ne02_poko,214.09,1435.59,50.84,
ne02_poko1,366.47,1479.82,43.85,
ne02_poko2,980.14,1910.75,42.38,
ne02_puku,1617.27,2439.81,51.76,
ne02_puku1,966.53,2159.73,43.27,
ne02_puku2,448.99,1261.72,27.76,
ne02_taka,837.08,1756.84,41.54,
ne02_taka1,833.09,2110.92,60.58,
ne02_taka2,728.61,1804.21,44.30,
ne02_teke,1606.36,1867.19,35.13,
ne02_teke1,481.90,2480.96,38.11,
ne02_teke2,981.91,1943.54,47.40,
ne02_tiki,1113.07,2174.57,90.42,
ne02_tiki1,312.92,2748.98,45.45,
ne02_tiki2,583.74,2466.88,50.47,
ne02_toko,1091.10,2070.81,47.60,
ne02_toko1,593.11,1153.40,49.54,
ne02_toko2,549.57,1017.36,41.48,
ne02_tuku,468.54,1302.50,37.52,
ne02_tuku1,1010.78,2122.26,65.74,
ne02_tuku2,365.32,1487.01,33.40,
