fileID,vowel,f1,f2,vot,notes
bi02_kaka,a,780.09,1572.95,24.05,'
bi02_kaka1,a,795.25,1547.83,29.57,'
bi02_kaka2,a,557.12,1507.97,26.28,'
bi02_keke1,e,461.21,2350.50,22.79,'
bi02_keke2,e,762.50,1953.66,25.13,'
bi02_kiki,i,408.83,2119.93,40.36,'
bi02_kiki1,i,279.13,1520.00,30.04,'
bi02_kiki2,i,696.61,2226.56,19.62,'
bi02_koko,o,237.36,1170.31,33.72,'
bi02_koko2,o,968.86,1864.26,24.75,'
bi02_kuku,u,787.72,2380.85,51.12,'
bi02_kuku1,u,319.14,1592.70,46.67,'
bi02_kuku2,u,988.22,2078.10,21.73,'
bi02_paka,a,521.71,1600.34,28.77,'
bi02_paka1,a,1150.02,2300.66,32.32,'
bi02_paka2,a,1498.25,2177.68,21.60,'
bi02_peke,e,106.87,1502.59,38.85,'
bi02_peke1,e,709.42,2261.73,21.54,'
bi02_peke2,e,913.11,2304.08,18.75,'
bi02_piki,i,351.74,1591.06,49.70,'
bi02_piki1,i,253.40,1415.61,39.42,'
bi02_piki2,i,990.78,2257.16,21.77,'
bi02_poko,o,926.01,1337.29,34.62,'
bi02_poko1,o,288.03,1237.09,25.64,'
bi02_poko2,o,584.00,1058.78,48.29,'
bi02_puku,u,277.25,1356.24,45.02,'
bi02_puku1,u,1280.55,2304.46,61.26,'
bi02_puku2,u,295.58,876.30,39.77,'
bi02_taka,a,1482.81,2228.42,20.25,'
bi02_taka1,a,944.37,1587.19,27.89,'
bi02_taka2,a,1322.17,1547.13,32.81,'
bi02_teke,e,1172.34,2103.11,27.09,'
bi02_teke1,e,786.30,2206.40,26.45,'
bi02_teke2,e,1475.17,2392.97,30.58,'
bi02_tiki,i,1539.43,2419.21,24.47,'
bi02_tiki1,i,729.68,2551.08,31.01,'
bi02_tiki2,i,1183.12,2306.21,28.49,'
bi02_toko,o,383.45,852.17,46.84,'
bi02_toko1,o,1103.14,2080.67,28.60,'
bi02_toko2,o,1323.30,2229.77,29.74,'
bi02_tuku,u,599.87,1703.92,30.35,'
bi02_tuku1,u,432.56,1375.56,49.29,'
bi02_tuku2,u,869.94,2084.07,39.24,'
